frame,dt,latency_ms,error_x,error_y,vel_forward,vel_yaw
164,0.577181,577.181,-407.9561,-199.8865,-0.399773,-30.0
165,0.548696,548.696,-405.2175,-199.5449,-0.39909,-30.0
166,0.522872,522.872,-406.4399,-200.8252,-0.40165,-30.0
167,0.504949,504.949,-439.5475,-195.807,-0.391614,-30.0
168,0.500855,500.855,-450.6622,-194.7709,-0.389542,-30.0
169,0.482678,482.678,-456.7028,-193.894,-0.387788,-30.0
170,0.468538,468.538,-462.7434,-193.0171,-0.386034,-30.0
171,0.435206,435.206,-468.784,-192.1402,-0.38428,-30.0
172,0.438277,438.277,-474.8246,-191.2633,-0.382527,-30.0
173,0.425734,425.734,-480.8651,-190.3864,-0.380773,-30.0
174,0.43192,431.92,-550.3992,-154.9769,-0.309954,-30.0
175,0.433702,433.702,-561.1773,-148.7923,-0.297585,-30.0
176,0.444327,444.327,-572.65,-144.657,-0.289314,-30.0
177,0.427408,427.408,-584.1226,-140.5216,-0.281043,-30.0
178,0.456779,456.779,-595.5953,-136.3863,-0.272773,-30.0
179,0.426396,426.396,-607.0679,-132.2509,-0.264502,-30.0
180,0.458753,458.753,-618.5405,-128.1155,-0.256231,-30.0
181,0.451288,451.288,-630.0132,-123.9802,-0.24796,-30.0
182,0.457396,457.396,-641.4858,-119.8448,-0.23969,-30.0
183,0.41753,417.53,-652.9584,-115.7094,-0.231419,-30.0
184,0.467627,467.627,-664.4311,-111.5741,-0.223148,-30.0
185,0.439012,439.012,-675.9037,-107.4387,-0.214877,-30.0
186,0.442642,442.642,-687.3764,-103.3034,-0.206607,-30.0
187,0.445099,445.099,-698.849,-99.168,-0.198336,-30.0
188,0.410361,410.361,-710.3216,-95.0326,-0.190065,-30.0
189,0.421523,421.523,-721.7943,-90.8973,-0.181795,-30.0
190,0.451658,451.658,-733.2669,-86.7619,-0.173524,-30.0
191,0.468887,468.887,-744.7396,-82.6265,-0.165253,-30.0
192,0.458732,458.732,-756.2122,-78.4912,-0.156982,-30.0
193,0.430487,430.487,-767.6848,-74.3558,-0.148712,-30.0
194,0.467373,467.373,-779.1575,-70.2204,-0.140441,-30.0
195,0.425074,425.074,-790.6301,-66.0851,-0.13217,-30.0
196,0.444656,444.656,-802.1027,-61.9497,-0.123899,-30.0
197,0.460044,460.044,-813.5754,-57.8144,-0.115629,-30.0
198,0.426689,426.689,-825.048,-53.679,-0.107358,-30.0
199,0.415147,415.147,-836.5207,-49.5436,-0.099087,-30.0
200,0.456266,456.266,-847.9933,-45.4083,-0.090817,-30.0
201,0.475098,475.098,-859.4659,-41.2729,-0.082546,-30.0
202,0.450432,450.432,-870.9386,-37.1375,-0.074275,-30.0
203,0.442213,442.213,-882.4112,-33.0022,-0.066004,-30.0
204,0.468328,468.328,-893.8839,-28.8668,-0.057734,-30.0
205,0.481744,481.744,-905.3565,-24.7315,-0.049463,-30.0
206,0.484446,484.446,-433.6419,-172.4763,-0.344953,-30.0
207,0.479811,479.811,-432.8838,-172.5002,-0.345,-30.0
208,0.513616,513.616,-428.4924,-175.2008,-0.350402,-30.0
209,0.515444,515.444,-416.6493,-184.58,-0.36916,-30.0
210,0.495947,495.947,-395.836,-200.6476,-0.401295,-30.0
211,0.536768,536.768,-404.9811,-204.8563,-0.409713,-30.0
212,0.538704,538.704,-426.1515,-201.3148,-0.40263,-30.0
213,0.525372,525.372,-412.605,-204.3898,-0.40878,-30.0
214,0.516563,516.563,-391.1206,-209.8578,-0.419716,-30.0
215,0.506158,506.158,-389.1982,-210.1584,-0.420317,-30.0
216,0.508774,508.774,-392.5698,-209.6672,-0.419334,-30.0
217,0.532549,532.549,-395.8252,-210.1757,-0.420351,-30.0
218,0.503718,503.718,-403.8097,-209.3442,-0.418688,-30.0
219,0.501258,501.258,-405.7974,-209.7443,-0.419489,-30.0
220,0.493464,493.464,-404.4044,-209.9879,-0.419976,-30.0
221,0.501613,501.613,-402.6093,-214.1915,-0.428383,-30.0
222,0.557555,557.555,-403.4795,-214.2294,-0.428459,-30.0
223,0.498212,498.212,-403.2176,-214.4017,-0.428803,-30.0
224,0.534486,534.486,-406.7795,-213.4437,-0.426887,-30.0
225,0.516852,516.852,-414.0283,-212.881,-0.425762,-30.0
226,0.515152,515.152,-441.723,-203.0439,-0.406088,-30.0
227,0.526911,526.911,-458.8522,-196.17,-0.39234,-30.0
228,0.529907,529.907,-444.1693,-197.2238,-0.394448,-30.0
229,0.519238,519.238,-430.4447,-199.1973,-0.398395,-30.0
230,0.528249,528.249,-426.229,-199.5737,-0.399147,-30.0
231,0.528489,528.489,-432.532,-198.2611,-0.396522,-30.0
232,0.464509,464.509,-434.9732,-198.0988,-0.396198,-30.0
233,0.445802,445.802,-425.6894,-199.7781,-0.399556,-30.0
234,0.505027,505.027,-390.3883,-207.109,-0.414218,-30.0
235,0.437014,437.014,-364.3462,-213.0991,-0.426198,-30.0
236,0.441332,441.332,-402.686,-209.4962,-0.418992,-30.0
237,0.435767,435.767,-400.7517,-210.2535,-0.420507,-30.0
238,0.413293,413.293,-398.8174,-211.0108,-0.422022,-30.0
239,0.420123,420.123,-406.0288,-205.8257,-0.411651,-30.0
240,0.438651,438.651,-405.0373,-205.9704,-0.411941,-30.0
241,0.404622,404.622,-404.0458,-206.1151,-0.41223,-30.0
242,0.4353,435.3,-403.0544,-206.2598,-0.41252,-30.0
243,0.451185,451.185,-408.6847,-211.8188,-0.423638,-30.0
244,0.436647,436.647,-441.5381,-207.3231,-0.414646,-30.0
245,0.482115,482.115,-444.8138,-207.4491,-0.414898,-30.0
246,0.497058,497.058,-448.0895,-207.5751,-0.41515,-30.0
247,0.436903,436.903,-451.3652,-207.7011,-0.415402,-30.0
248,0.437704,437.704,-454.6409,-207.8271,-0.415654,-30.0
249,0.455127,455.127,-475.4366,-216.855,-0.43371,-30.0
250,0.449185,449.185,-498.0972,-208.7016,-0.417403,-30.0
251,0.42314,423.14,-474.0354,-212.7269,-0.425454,-30.0
252,0.456674,456.674,-477.6015,-213.1825,-0.426365,-30.0
253,0.423616,423.616,-481.1675,-213.6381,-0.427276,-30.0
254,0.446742,446.742,-484.7335,-214.0936,-0.428187,-30.0
255,0.437505,437.505,-486.9164,-200.7931,-0.401586,-30.0
256,0.439769,439.769,-485.4619,-197.2036,-0.394407,-30.0
257,0.406695,406.695,-488.3862,-196.138,-0.392276,-30.0
258,0.408098,408.098,-491.3106,-195.0724,-0.390145,-30.0
259,0.420145,420.145,-494.2349,-194.0068,-0.388014,-30.0
260,0.435884,435.884,-497.1593,-192.9412,-0.385882,-30.0
261,0.423153,423.153,-529.4908,-168.4867,-0.336973,-30.0
262,0.437204,437.204,-545.8064,-157.8762,-0.315752,-30.0
263,0.426691,426.691,-530.0202,-164.926,-0.329852,-30.0
264,0.455105,455.105,-525.4445,-166.9728,-0.333946,-30.0
265,0.421284,421.284,-526.9577,-160.7466,-0.321493,-30.0
266,0.419294,419.294,-534.1413,-157.9387,-0.315877,-30.0
267,0.418385,418.385,-532.7544,-154.6208,-0.309242,-30.0
268,0.468858,468.858,-537.3835,-154.1785,-0.308357,-30.0
269,0.468622,468.622,-517.7804,-165.0274,-0.330055,-30.0
270,0.437398,437.398,-518.0763,-164.1547,-0.328309,-30.0
271,0.481005,481.005,-518.3722,-163.2821,-0.326564,-30.0
272,0.436595,436.595,-518.6682,-162.4094,-0.324819,-30.0
273,0.443466,443.466,-518.9641,-161.5367,-0.323073,-30.0
274,0.423582,423.582,-519.26,-160.6641,-0.321328,-30.0
275,0.43207,432.07,-519.5559,-159.7914,-0.319583,-30.0
276,0.482554,482.554,-519.8518,-158.9187,-0.317837,-30.0
277,0.466846,466.846,-520.1477,-158.0461,-0.316092,-30.0
278,0.437392,437.392,-520.4436,-157.1734,-0.314347,-30.0
279,0.496487,496.487,-520.7396,-156.3007,-0.312601,-30.0
280,0.450388,450.388,-521.0355,-155.4281,-0.310856,-30.0
281,0.435537,435.537,-521.3314,-154.5554,-0.309111,-30.0
282,0.460457,460.457,-521.6273,-153.6827,-0.307365,-30.0
283,0.45309,453.09,-521.9232,-152.81,-0.30562,-30.0
284,0.467389,467.389,-522.2191,-151.9374,-0.303875,-30.0
285,0.443985,443.985,-522.515,-151.0647,-0.302129,-30.0
286,0.496265,496.265,-522.811,-150.192,-0.300384,-30.0
287,0.537223,537.223,-523.1069,-149.3194,-0.298639,-30.0
288,0.52943,529.43,-523.4028,-148.4467,-0.296893,-30.0
289,0.590409,590.409,-523.6987,-147.574,-0.295148,-30.0
290,0.553852,553.852,-523.9946,-146.7014,-0.293403,-30.0
291,0.564167,564.167,-524.2905,-145.8287,-0.291657,-30.0
292,0.601611,601.611,-524.5864,-144.956,-0.289912,-30.0
293,0.549509,549.509,-524.8824,-144.0834,-0.288167,-30.0
294,0.557625,557.625,-525.1783,-143.2107,-0.286421,-30.0
295,0.579947,579.947,-525.4742,-142.338,-0.284676,-30.0
296,0.563704,563.704,-525.7701,-141.4654,-0.282931,-30.0
297,0.541833,541.833,-526.066,-140.5927,-0.281185,-30.0
298,0.557899,557.899,-526.3619,-139.72,-0.27944,-30.0
299,0.53608,536.08,-526.6579,-138.8474,-0.277695,-30.0
300,0.529742,529.742,-356.5982,-207.5805,-0.415161,-30.0
301,0.523281,523.281,-363.5866,-207.5236,-0.415047,-30.0
302,0.511369,511.369,-381.8144,-210.1735,-0.420347,-30.0
303,0.503063,503.063,-390.7778,-213.6932,-0.427386,-30.0
304,0.513627,513.627,-389.4149,-216.6416,-0.433283,-30.0
305,0.514087,514.087,-392.7576,-216.7372,-0.433474,-30.0
306,0.504783,504.783,-402.263,-216.5084,-0.433017,-30.0
307,0.561306,561.306,-405.0546,-216.4215,-0.432843,-30.0
308,0.515667,515.667,-406.2936,-216.7472,-0.433494,-30.0
309,0.499946,499.946,-405.2996,-216.4141,-0.432828,-30.0
310,0.529437,529.437,-398.6107,-217.728,-0.435456,-30.0
311,0.513564,513.564,-392.2976,-218.4869,-0.436974,-30.0
312,0.501627,501.627,-391.6426,-218.4371,-0.436874,-30.0
313,0.497994,497.994,-392.1538,-218.0833,-0.436167,-30.0
314,0.499976,499.976,-392.2064,-217.8328,-0.435666,-30.0
315,0.503429,503.429,-392.5229,-218.0875,-0.436175,-30.0
316,0.521247,521.247,-393.0371,-216.3138,-0.432628,-30.0
317,0.491331,491.331,-392.7772,-215.5887,-0.431177,-30.0
318,0.483577,483.577,-392.0874,-218.5649,-0.43713,-30.0
